CustomerID,Name,Age,Gender,Email,Phone,Address,City,State,Country,ZipCode,JoinDate,LastPurchaseDate,TotalSpend,AvgOrderValue,NumOrders,PreferredCategory,PaymentMethod,AccountStatus,LoyaltyScore,CreditScore,Income,MaritalStatus,Occupation,Device,Browser,IsActive,Feedback,ReturnRate,RiskFlag
19,Wei,,,invalid@,9999999999,@@@,,Tamil Nadu,IN,,not_a_date,,,1386,90.0,,crypto,closed,59.0,,,,Doctor,,,,,0.6520544808985483,flag
20,,,Male,, 12345 ,@@@,Chennai,,,600001,,2018-11-11,24676,xyz,,electronics,Cash,Inactive,200.0,594.0,,,,,Firefox,,,5.0,flag
21,Sara,150,Female,invalid@,abc123,@@@,Delhi,,IN, 50000 ,not_a_date,2014-12-09,,xyz,,Electronics,Cash,Active,,50.0,income,Married,Doctor,,,True,!!!,,flag
22,  John  ,twenty,, user@x.com , 12345 ,,,KA,USA,,2015-12-19,2010-12-25,abc,,84.0,Clothing,Card,,87.0,50.0,,Married,,Mobile,,True,,,
23,,,M,test@mail.com,abc123,,Mumbai,,USA,,not_a_date,32-13-2020,10000000,xyz,31.0,electronics,,Active,,50.0,134871,,,,,True,good,0.08147699565547994,False
24,,57,F, user@x.com ,9999999999,,Mumbai,KA,USA,ABCDE,not_a_date,32-13-2020,abc,4532,,,,closed,200.0,,80761,Single,###,Mobile,Firefox,yes,bad,5.0,True
380,,45,Male, user@x.com ,,Street 1,,Tamil Nadu,IND,ABCDE,,2016-04-30,,xyz,-5.0,electronics,Cash,,,50.0,64926,Single,###,,IE,True,bad,0.8768405645756486,False
26,Sara,twenty,,invalid@,abc123,, New York ,MH,IN,,,,33667,xyz,,,crypto,,1.0,50.0,income,,###,,Chrome,,bad,5.0,False
27,Wei,42,Female,test@mail.com,,,Delhi,,IN,ABCDE,not_a_date,32-13-2020,abc,xyz,-5.0,Clothing,UPI,Active,200.0,362.0,83299,Single,Doctor,,Chrome,True,,,False
28,,,M,,abc123,,,,, 50000 ,2018-08-01,32-13-2020,10000000,xyz,,,Cash,Active,64.0,50.0,58841,,Doctor,Desktop,Firefox,True,bad,5.0,False
29,Fatima,56,, user@x.com ,abc123,Street 1,Delhi,DL,, 50000 ,,32-13-2020,abc,xyz,,Clothing,,,200.0,,,,Engineer,,,,!!!,0.4689175335863792,
479,Amit,twenty,,test@mail.com, 12345 ,,Bangalore,TN,India,,not_a_date,,,xyz,,electronics,Cash,Active,,50.0,income,,Doctor,Desktop,IE,True,!!!,5.0,False
31,Carlos,150,M, user@x.com , 12345 ,@@@,Mumbai,TN,USA,600001,2019-11-29,2017-08-28,10000000,xyz,79.0,Electronics,,,35.0,842.0,income,Married,###,Mobile,,yes,,,True
220,Wei,150,M,invalid@, 12345 ,, New York ,TN,,ABCDE,,32-13-2020,10000000,xyz,-5.0,,Cash,Active,200.0,50.0,income,,,Mobile,Firefox,False,,,True
33,Priya,twenty,,test@mail.com,abc123,,Bangalore,TN,IN, 50000 ,not_a_date,32-13-2020,abc,,,Electronics,UPI,Inactive,,,income,,Engineer,,IE,False,!!!,,True
34,,26,Male,,,Street 1,Chennai,MH,,600001,not_a_date,32-13-2020,abc,3316,-5.0,electronics,crypto,Inactive,76.0,,154084,Married,Doctor,Desktop,,True,!!!,5.0,flag
35,Carlos,55,Male,invalid@,,, New York ,DL,IND,,,2020-03-28,,xyz,75.0,,Card,,9.0,50.0,,Married,,Desktop,,True,!!!,5.0,
36,John,150,, user@x.com ,,@@@,,DL,,600001,not_a_date,2010-07-06,,,78.0,Electronics,crypto,Active,,698.0,income,Married,,Mobile,,True,,5.0,
37,###$$$,twenty,Female,test@mail.com, 12345 ,,Mumbai,KA,India,,2012-02-28,32-13-2020,,xyz,-5.0,Electronics,UPI,,200.0,,41089,,,Mobile,,True,good,0.33361293642632384,flag
38,Sara,150,Male,test@mail.com, 12345 ,,Mumbai,Tamil Nadu,,ABCDE,2013-08-08,,,2789,-5.0,,Card,Inactive,200.0,,64568,,Doctor,Desktop,,yes,,0.8765118313236592,flag
39,Sara,55,, user@x.com ,abc123,,Chennai,TN,IND,600001,2010-11-09,,,xyz,49.0,,crypto,closed,,553.0,income,Married,###,,Chrome,False,,,True
40,Priya,twenty,Female, user@x.com ,abc123,@@@,Bangalore,Tamil Nadu,India,,,,10000000,,-5.0,electronics,crypto,Active,68.0,50.0,122873,,,,Chrome,yes,!!!,0.461987586031698,
41,Sara,150,,test@mail.com,,,Mumbai,,IND, 50000 ,,2011-03-18,,,,Electronics,UPI,closed,55.0,,income,Married,,Desktop,Firefox,True,!!!,0.3569637027811857,flag
42,,22,F,invalid@,abc123,,Mumbai,MH,USA,600001,2021-10-13,32-13-2020,abc,xyz,,electronics,Cash,,200.0,50.0,,,Doctor,,IE,yes,,,flag
43,  John  ,,Male,test@mail.com,abc123,Street 1,Delhi,,,ABCDE,2018-06-07,2010-10-23,abc,,-5.0,,UPI,closed,,798.0,income,Single,###,Desktop,Chrome,False,!!!,5.0,False
225,  John  ,150,Male,invalid@, 12345 ,,Bangalore,Tamil Nadu,India, 50000 ,,32-13-2020,,,,,Card,,,,89548,Married,###,,Firefox,,!!!,0.8316040256381448,flag
45,,twenty,,test@mail.com,,@@@,Mumbai,,India,,not_a_date,2012-02-11,44151,xyz,72.0,Electronics,Card,,200.0,50.0,,,,Mobile,Chrome,False,bad,,
46,,150,Male,test@mail.com,,@@@,Mumbai,,IND, 50000 ,2013-04-06,2016-06-16,10000000,,-5.0,Clothing,Card,,200.0,782.0,income,,,,IE,,,5.0,
47,,36,F,invalid@,,,,MH,IND, 50000 ,2015-02-17,32-13-2020,10000000,xyz,-5.0,,,,62.0,50.0,199285,Single,,,,False,,5.0,True
48,Wei,150,Female,test@mail.com,abc123,,Chennai,MH,India,600001,,2010-02-06,,xyz,60.0,Electronics,,closed,53.0,849.0,81420,,,,Chrome,yes,bad,0.3812446666960848,
15,Carlos,150,M, user@x.com ,abc123,Street 1,Delhi,TN,,600001,2016-02-14,,,3204,-5.0,electronics,Cash,,200.0,50.0,income,,Engineer,,,False,,0.5477747048423836,flag
50,John,150,Female, user@x.com ,abc123,,Bangalore,,IN,600001,,,10000000,,,,crypto,Inactive,,,,Married,###,Mobile,Firefox,,!!!,0.6309034427491046,True
51,Amit,,F, user@x.com ,abc123,@@@,Bangalore,MH,USA, 50000 ,not_a_date,2021-09-07,abc,xyz,-5.0,,,,200.0,50.0,169615,,Engineer,Desktop,,,!!!,0.7311004489391414,True
52,Priya,,,test@mail.com, 12345 ,,,DL,IN,ABCDE,not_a_date,32-13-2020,10000000,,,,Card,Inactive,28.0,,income,Married,,Mobile,Chrome,yes,bad,,flag
53,  John  ,,, user@x.com ,,@@@,,Tamil Nadu,India,600001,,2021-01-19,10000000,,-5.0,Electronics,Cash,closed,200.0,,,,Engineer,,IE,False,,5.0,
117,Wei,23,Female,, 12345 ,Street 1,,KA,IN,,,2010-07-18,,1261,-5.0,,Cash,Active,,,,,,Desktop,,True,,0.5153919723051471,False
55,Amit,150,M,invalid@,,Street 1,,Tamil Nadu,IN,600001,,,,4075,67.0,electronics,Card,closed,90.0,50.0,193896,,Doctor,,IE,False,,,False
56,Carlos,150,,test@mail.com,9999999999,,Delhi,,,,2010-10-15,2023-09-21,20163,xyz,36.0,,,,57.0,50.0,,Single,Engineer,,IE,False,,,
57,Amit,150,Male,,,,Chennai,,,ABCDE,2021-08-03,,10000000,,75.0,electronics,UPI,closed,,,118165,Single,Doctor,,,True,bad,0.08110113671643648,False
58,,150,, user@x.com ,9999999999,,Bangalore,DL,IND, 50000 ,not_a_date,2011-04-24,abc,1758,20.0,electronics,Cash,Inactive,,327.0,income,,Doctor,Desktop,,False,!!!,5.0,False
59,Amit,twenty,Female,test@mail.com, 12345 ,,Bangalore,Tamil Nadu,IN,ABCDE,,32-13-2020,,xyz,2.0,Electronics,Cash,,200.0,,income,,,Mobile,Firefox,False,bad,0.8580036688249258,True
60,Priya,,,,9999999999,,Delhi,,IND,,,,,,94.0,,crypto,,,750.0,,,,,,yes,!!!,5.0,False
61,Priya,,,invalid@, 12345 ,,Delhi,KA,IND, 50000 ,,,abc,xyz,9.0,Clothing,,Active,32.0,521.0,182045,,###,,Chrome,True,good,0.6075705954169761,
62,Fatima,150,M,test@mail.com, 12345 ,Street 1,,TN,USA,600001,,32-13-2020,,3245,41.0,Clothing,crypto,Inactive,200.0,,income,Married,Engineer,Mobile,,True,bad,,
170,  John  ,,,test@mail.com,,,Delhi,,,,not_a_date,32-13-2020,18666,3857,-5.0,electronics,,,,50.0,income,,Doctor,Mobile,,True,bad,,
352,John,twenty,M,,9999999999,,,,,600001,2010-03-08,2023-08-20,10076,,62.0,electronics,Cash,Active,,530.0,,Single,Engineer,,Firefox,,,5.0,True
65,,,,invalid@,abc123,Street 1,,KA,IND,,2015-09-02,,1589,4388,-5.0,electronics,Cash,Inactive,200.0,437.0,107089,,Doctor,,,True,good,,flag
170,,48,Male,, 12345 ,@@@, New York ,KA,, 50000 ,not_a_date,2021-08-19,,xyz,41.0,Electronics,Cash,Inactive,,50.0,income,,###,,IE,yes,,,flag
67,Priya,50,, user@x.com ,,, New York ,Tamil Nadu,India,ABCDE,2022-11-19,2020-08-29,10000000,xyz,-5.0,,Card,Active,,,,,,,,True,bad,,
350,Sara,twenty,,invalid@, 12345 ,,,Tamil Nadu,IN,ABCDE,,,,,,,,Inactive,,700.0,,,Doctor,Desktop,IE,False,!!!,,flag
122,Carlos,,M,invalid@,abc123,,,MH,,600001,not_a_date,,abc,xyz,-5.0,,Cash,,,824.0,,,Engineer,Mobile,Firefox,False,!!!,5.0,flag
70,,twenty,F,, 12345 ,Street 1, New York ,TN,India,,not_a_date,,10000000,xyz,,electronics,Cash,Active,92.0,50.0,income,,###,Mobile,,False,good,0.041249519502346566,
47,Fatima,,,invalid@,,,Mumbai,MH,,ABCDE,2013-01-26,32-13-2020,abc,xyz,,Clothing,Card,Inactive,,486.0,174347,,###,,Firefox,,good,5.0,
406,Priya,,Female,test@mail.com, 12345 ,,Mumbai,KA,,600001,not_a_date,,10000000,xyz,57.0,electronics,Cash,Active,,,income,,Doctor,,,yes,good,0.17520076316272593,True
73,,twenty,M,invalid@,abc123,Street 1,Delhi,KA,IND, 50000 ,2021-06-25,32-13-2020,10000000,4602,-5.0,,,Inactive,83.0,50.0,income,,Doctor,,Firefox,yes,good,,True
260,,,Male,invalid@,abc123,,Chennai,Tamil Nadu,IN, 50000 ,,,,4128,25.0,,Cash,closed,200.0,50.0,,,,,,True,,0.34537429347845405,True
75,,,Male,invalid@,abc123,@@@,Bangalore,TN,,,not_a_date,32-13-2020,abc,xyz,,electronics,,closed,83.0,535.0,127310,Single,,,Firefox,,bad,,
350,John,,Female,, 12345 ,@@@,Bangalore,TN,USA, 50000 ,not_a_date,,,,-5.0,Clothing,,,200.0,516.0,61360,,###,,Firefox,True,,5.0,True
77,  John  ,24,F,invalid@,9999999999,Street 1, New York ,,,600001,not_a_date,32-13-2020,10000000,1430,81.0,,,Inactive,200.0,549.0,79368,Married,Doctor,Desktop,Chrome,True,,5.0,flag
78,###$$$,44,,test@mail.com,abc123,@@@,Chennai,DL,IND,,not_a_date,2018-10-04,,1839,-5.0,Clothing,Cash,closed,,627.0,,Married,,,Firefox,,good,5.0,
122,Wei,37,M,invalid@, 12345 ,Street 1,Bangalore,,IN,600001,not_a_date,,10000000,xyz,67.0,Clothing,Card,,,563.0,,,###,,Firefox,yes,,0.9504868006222581,True
80,Wei,63,,test@mail.com, 12345 ,,Delhi,Tamil Nadu,,ABCDE,not_a_date,,,xyz,,Clothing,UPI,,,50.0,47673,,Doctor,Mobile,Chrome,yes,,5.0,True
81,  John  ,,M,,9999999999,,Chennai,MH,India,600001,not_a_date,2020-02-23,abc,,-5.0,Clothing,crypto,,1.0,304.0,income,Married,,Mobile,,,good,5.0,
82,Priya,,F,invalid@,abc123,@@@,Delhi,,,ABCDE,,2022-10-22,10000000,233,,Electronics,crypto,Inactive,200.0,693.0,income,,Doctor,,Chrome,yes,!!!,,
243,,150,M,,abc123,,Mumbai,KA,IND,600001,not_a_date,,,272,-5.0,,Cash,Inactive,200.0,50.0,54837,,,,,,good,0.19739761626049956,True
84,  John  ,twenty,,,abc123,Street 1,Bangalore,TN,, 50000 ,,2010-01-24,abc,,-5.0,electronics,Card,Active,,50.0,,Married,,,,True,,5.0,flag
85,  John  ,twenty,,, 12345 ,,Delhi,KA,,ABCDE,2017-10-10,32-13-2020,abc,xyz,,Clothing,crypto,Active,,459.0,150314,Single,Doctor,Mobile,Firefox,False,good,5.0,flag
86,Sara,twenty,F,,9999999999,,Bangalore,MH,India,600001,,,abc,3304,,electronics,crypto,Active,200.0,600.0,income,,###,Desktop,,True,,0.04044161023692561,
87,Wei,21,Male,test@mail.com,abc123,,Bangalore,,India,ABCDE,,2022-07-30,7660,xyz,-5.0,Electronics,Cash,Active,,382.0,income,,###,Desktop,,True,bad,5.0,flag
88,John,58,,invalid@,9999999999,@@@,Delhi,Tamil Nadu,IND, 50000 ,2016-11-17,,,,,electronics,,,2.0,301.0,income,Married,Doctor,Desktop,Chrome,yes,,,
89,Amit,150,,,abc123,Street 1,,,IN,ABCDE,not_a_date,2017-03-13,42601,,52.0,electronics,crypto,closed,45.0,639.0,123305,,###,,Firefox,,good,,True
172,Fatima,150,Female,invalid@,,, New York ,Tamil Nadu,,600001,not_a_date,,40990,,-5.0,Electronics,UPI,Active,200.0,,,Married,###,Desktop,Chrome,False,,5.0,flag
304,Carlos,150,Male,test@mail.com, 12345 ,,Mumbai,KA,USA, 50000 ,2023-06-16,2024-12-16,10000000,,21.0,,crypto,,200.0,,income,Married,###,Mobile,IE,False,good,,False
92,,twenty,M, user@x.com , 12345 ,@@@,Chennai,DL,,,not_a_date,32-13-2020,40840,xyz,-5.0,Clothing,crypto,,200.0,50.0,29502,,###,Mobile,IE,True,good,,
93,,twenty,,invalid@,9999999999,,Mumbai,DL,IN,600001,2014-12-01,,,,-5.0,Clothing,crypto,,,50.0,78739,,###,,,True,,5.0,False
94,Carlos,30,Male, user@x.com , 12345 ,Street 1,,Tamil Nadu,India,ABCDE,not_a_date,2022-08-19,abc,,46.0,,UPI,Active,42.0,50.0,197512,,,,Firefox,True,,5.0,False
95,Wei,twenty,, user@x.com , 12345 ,,Bangalore,,USA, 50000 ,2024-02-02,2016-01-02,10000000,,,electronics,Cash,Inactive,59.0,648.0,150343,Single,###,,IE,False,good,0.6609373786755801,
96,  John  ,63,Male, user@x.com ,,,Delhi,DL,India,ABCDE,,,,4669,61.0,Electronics,,,90.0,,,,,Desktop,Firefox,True,good,0.15119366073730212,flag
97,Wei,23,Female,, 12345 ,,,KA,,,,,abc,1551,93.0,Clothing,,,200.0,50.0,,,,,Chrome,False,,0.1753567643426246,False
98,,45,M,invalid@,9999999999,,Mumbai,MH,USA,,not_a_date,,10000000,xyz,,Electronics,,closed,,50.0,income,Single,,,Firefox,True,good,5.0,flag
99,Carlos,150,Female,, 12345 ,,,,,600001,2020-10-22,2010-01-12,37830,1233,,electronics,Cash,Active,86.0,50.0,,,###,,,False,,5.0,False
100,,65,F,invalid@,abc123,Street 1,,,USA,,not_a_date,32-13-2020,10000000,,-5.0,electronics,crypto,closed,,,income,Single,Doctor,,IE,yes,,5.0,False
101,,,,invalid@,9999999999,,,,,ABCDE,2023-03-04,32-13-2020,10000000,,24.0,Electronics,,Active,200.0,50.0,income,Married,Doctor,Desktop,IE,,good,,False
172,,,, user@x.com ,,Street 1,Mumbai,KA,India,ABCDE,2012-12-03,32-13-2020,abc,,,,Card,Active,50.0,363.0,,Married,,,,True,,5.0,flag
103,Fatima,63,M,,abc123,Street 1,,DL,IN,600001,,2013-08-01,abc,xyz,,electronics,crypto,,,,49174,,,,,False,,0.8005177113762922,
104,Fatima,150,Female,invalid@,9999999999,@@@, New York ,,, 50000 ,,32-13-2020,,,76.0,Electronics,Card,Inactive,14.0,50.0,191521,Single,,,IE,,!!!,5.0,True
105,Fatima,twenty,Male, user@x.com ,,,,DL,IND,ABCDE,,2016-04-21,abc,3196,,,Cash,,200.0,379.0,,Single,Engineer,Desktop,,True,bad,,True
106,Sara,56,F,,abc123,Street 1,Bangalore,TN,India,600001,2023-04-30,32-13-2020,,,-5.0,,Card,Inactive,200.0,50.0,income,,###,Desktop,,,good,,True
107,Carlos,150,,invalid@,,Street 1,,TN,, 50000 ,not_a_date,32-13-2020,10000000,2507,-5.0,,crypto,closed,200.0,50.0,31463,Married,,,,False,bad,0.6509079675972259,True
108,Fatima,150,Female, user@x.com ,9999999999,,,KA,,ABCDE,not_a_date,2023-05-14,45411,,-5.0,Electronics,Cash,,200.0,50.0,71694,Single,Doctor,Mobile,IE,,,0.7329008229430809,False
296,Fatima,35,F,test@mail.com, 12345 ,, New York ,KA,USA, 50000 ,2018-09-07,,abc,xyz,-5.0,Clothing,Cash,closed,,50.0,income,Single,Doctor,Desktop,IE,True,,5.0,False
110,Wei,150,Female,test@mail.com,abc123,@@@,,Tamil Nadu,IND, 50000 ,2011-05-07,32-13-2020,abc,xyz,,electronics,UPI,Active,200.0,,94624,,Doctor,Desktop,Firefox,False,,,False
111,Fatima,19,, user@x.com ,9999999999,, New York ,,USA,,2011-12-05,32-13-2020,abc,1570,,electronics,Cash,,37.0,546.0,145200,,,,IE,True,bad,5.0,
112,John,twenty,F,,,@@@,Mumbai,DL,India, 50000 ,not_a_date,2023-04-24,5465,3326,-5.0,Electronics,crypto,closed,200.0,50.0,,,###,,Firefox,False,bad,0.6534486089034836,True
275,Sara,150,F,invalid@, 12345 ,,,Tamil Nadu,USA,,,32-13-2020,10818,,78.0,Electronics,,Active,200.0,50.0,income,,,,,True,bad,,
263,Carlos,150,M,test@mail.com, 12345 ,,Chennai,,India, 50000 ,not_a_date,32-13-2020,abc,xyz,,electronics,UPI,,25.0,50.0,income,,,Mobile,,True,,0.02419811810608241,True
115,Amit,150,Female,,abc123,Street 1, New York ,MH,, 50000 ,,,abc,269,,,Cash,Inactive,,311.0,20688,Single,Engineer,,Chrome,False,bad,,
378,,twenty,,test@mail.com,abc123,,,MH,USA,600001,2013-02-24,,37675,xyz,,,crypto,,200.0,50.0,income,Married,Doctor,,,,,0.5948262998588864,flag
293,Priya,150,,,9999999999,,,,IND,,not_a_date,,abc,xyz,,Electronics,Card,,75.0,50.0,income,Single,Engineer,Mobile,IE,yes,good,0.5168251295830745,flag
118,Wei,150,M,invalid@, 12345 ,@@@,Bangalore,DL,IND,600001,,32-13-2020,abc,846,,electronics,UPI,,200.0,50.0,income,,,,,True,good,0.9293285510470816,True
119,Carlos,150,Male, user@x.com ,,,Delhi,KA,India,,not_a_date,,21961,2959,-5.0,Clothing,UPI,closed,200.0,,,Married,Doctor,,Firefox,True,good,,True
120,  John  ,twenty,M,invalid@,abc123,@@@,Chennai,,, 50000 ,2022-08-09,2015-12-06,9990,,-5.0,,UPI,Active,,,107657,Single,###,Desktop,,True,,5.0,False
367,John,,Male,,abc123,,,KA,, 50000 ,2019-09-22,32-13-2020,12269,xyz,-5.0,electronics,UPI,Inactive,50.0,50.0,46282,,###,Desktop,Chrome,True,!!!,5.0,False
122,Sara,,F, user@x.com ,9999999999,,Delhi,DL,,600001,,32-13-2020,abc,xyz,-5.0,electronics,UPI,Active,52.0,50.0,86143,Married,###,Desktop,,False,!!!,0.7838146308356101,
298,,58,,invalid@,,,Bangalore,DL,IN,ABCDE,not_a_date,2018-01-31,,2225,,Electronics,UPI,,200.0,660.0,128533,Married,Doctor,,,yes,!!!,0.703267725141556,
124,,44,Male, user@x.com ,,,Bangalore,TN,,ABCDE,,32-13-2020,10000000,,,Clothing,Cash,,200.0,760.0,,Married,Doctor,,Chrome,yes,,,False
160,Amit,,M,invalid@,,Street 1, New York ,DL,, 50000 ,2015-01-31,,,xyz,-5.0,,Cash,Inactive,200.0,,,Married,Engineer,,,,,,flag
126,###$$$,twenty,Female,invalid@, 12345 ,@@@,Chennai,,, 50000 ,,,28874,,21.0,Clothing,UPI,Inactive,,50.0,175444,Single,Engineer,Desktop,IE,,,,
127,Wei,150,Male,test@mail.com,9999999999,,,KA,, 50000 ,,2023-03-05,10000000,xyz,-5.0,electronics,,,92.0,341.0,,,Engineer,,IE,yes,!!!,5.0,True
54,,,M, user@x.com ,abc123,Street 1,Chennai,TN,,,not_a_date,,43315,3471,44.0,Electronics,Cash,,200.0,475.0,,Married,Doctor,Mobile,,,,0.7147303803807391,True
416,Carlos,150,M,invalid@, 12345 ,,,TN,,600001,not_a_date,2024-05-16,3453,,-5.0,electronics,Card,Inactive,,366.0,,Married,,Desktop,Firefox,False,bad,5.0,True
130,,,F,invalid@,abc123,Street 1,Delhi,MH,,,not_a_date,2020-02-10,10000000,,,Clothing,,Inactive,,,,Married,Doctor,,Chrome,False,!!!,5.0,
131,,twenty,Female,,,Street 1,Delhi,,India, 50000 ,,,2437,,,,UPI,Active,,,income,Single,,Mobile,Chrome,,good,5.0,True
449,,58,,test@mail.com,abc123,@@@, New York ,DL,India,600001,2014-01-20,,,xyz,,Clothing,Card,closed,,376.0,,,Engineer,Desktop,Firefox,True,bad,5.0,flag
133,###$$$,30,, user@x.com ,abc123,@@@,,Tamil Nadu,USA,600001,not_a_date,32-13-2020,10000000,xyz,,,Cash,Active,200.0,813.0,income,,Doctor,,IE,,,,False
134,Wei,,Male,invalid@, 12345 ,,Delhi,MH,IN, 50000 ,not_a_date,32-13-2020,26720,,-5.0,Electronics,Cash,Active,,571.0,,Married,Engineer,Desktop,Chrome,yes,,,flag
135,,60,Male,test@mail.com,abc123,,Mumbai,,,,2019-07-16,32-13-2020,,,-5.0,Clothing,Cash,Inactive,200.0,,,Single,,,,False,good,0.16713735948389696,flag
136,Carlos,twenty,,invalid@,,@@@,Chennai,KA,IN, 50000 ,2013-09-19,2024-02-25,36541,4389,-5.0,,crypto,,35.0,,,Single,###,Desktop,Chrome,yes,good,,flag
137,Amit,,Female, user@x.com ,abc123,,,Tamil Nadu,,600001,2011-03-24,,abc,,-5.0,electronics,UPI,closed,,433.0,,Single,Engineer,Desktop,Firefox,,,,
138,Wei,50,,test@mail.com, 12345 ,Street 1,,,, 50000 ,2020-04-21,,,xyz,,,Card,,,589.0,income,,###,,,False,!!!,5.0,True
139,,twenty,Female,test@mail.com,abc123,,,MH,IND,600001,not_a_date,32-13-2020,9612,xyz,39.0,,UPI,Active,,50.0,income,Married,Engineer,,,False,,5.0,
140,John,,,test@mail.com, 12345 ,@@@,Delhi,DL,USA,ABCDE,,2022-09-25,,,21.0,,Cash,Active,10.0,,income,Single,Doctor,,IE,True,!!!,,flag
58,  John  ,150,Male, user@x.com ,,,,Tamil Nadu,India,600001,,2020-05-05,abc,911,-5.0,,crypto,Inactive,63.0,50.0,income,,###,,Firefox,False,good,0.5248584855705615,flag
321,Carlos,,Male,, 12345 ,,,KA,, 50000 ,2011-02-22,32-13-2020,abc,xyz,-5.0,,Card,,200.0,50.0,,,###,Mobile,IE,False,,,False
399,,41,M,invalid@,abc123,,,TN,USA,600001,,32-13-2020,10000000,2376,-5.0,,UPI,,55.0,333.0,,Single,Engineer,,,False,good,0.26739948198578745,False
243,Amit,22,M,invalid@, 12345 ,, New York ,MH,USA,ABCDE,,2010-05-27,10000000,2818,83.0,Electronics,,Active,200.0,,89241,,,Mobile,,False,good,,False
434,  John  ,,,,abc123,,Mumbai,DL,India,600001,not_a_date,,,,51.0,Clothing,Card,,71.0,50.0,income,,Doctor,Mobile,Chrome,True,good,,True
323,  John  ,62,M,, 12345 ,Street 1, New York ,TN,IN,ABCDE,not_a_date,,48824,xyz,,electronics,UPI,,6.0,,,Single,Doctor,,IE,False,bad,,True
147,  John  ,,,test@mail.com,,@@@,Chennai,,IND,ABCDE,,2022-09-01,31613,3726,-5.0,electronics,UPI,closed,79.0,50.0,,,,,Firefox,False,,,
364,  John  ,,Male, user@x.com ,abc123,,Mumbai,TN,IND, 50000 ,2024-08-04,,36951,3088,,,crypto,,,,,Married,,Desktop,,,,5.0,False
