CustomerID,Name,Age,Gender,Email,Phone,City,State,Country,JoinDate,LastPurchaseDate,TotalSpend,AvgOrderValue,NumOrders,PreferredCategory,PaymentMethod,AccountStatus,LoyaltyScore,CreditScore,Income,MaritalStatus,Occupation,Device,Browser,IsActive,Feedback,ReturnRate,RiskFlag
59,Amit,50.0,Female,user58@mail.com,9000000058,Mumbai,KA,India,2015-03-31,2018-04-04,41768.0,4954.0,14.0,Clothing,Cash,Inactive,79.0,359.0,33648,Married,Engineer,Mobile,Chrome,True,average,0.63,True
60,Priya,25.0,Male,user59@mail.com,9000000059,Bangalore,MH,India,2024-02-16,2023-01-12,38902.0,2185.0,93.0,Electronics,UPI,Active,25.0,687.0,193814,Married,Engineer,Desktop,Chrome,True,bad,0.67,True
61,Fatima,60.0,Female,user60@mail.com,9000000060,Bangalore,DL,India,2020-07-16,2016-02-05,44862.0,1161.0,24.0,Electronics,Cash,Active,62.0,519.0,123269,Married,Engineer,Mobile,Chrome,True,average,0.83,True
62,John,50.0,Female,user61@mail.com,9000000061,Delhi,MH,India,2017-08-11,2019-01-13,44164.0,4900.0,97.0,Electronics,Cash,Active,58.0,345.0,180067,Single,Engineer,Desktop,Firefox,True,bad,0.5,False
63,  John ,120.0,,,,,Tamil Nadu,India,,32-13-2020,5000000.0,,,,crypto,,,,income,,,,,yes,,,
64,Sara,,Female,invalid@,,Chennai,KA,India,,32-13-2020,,,,Clothing,Card,Active,,100.0,income,Married,Doctor,Desktop,Firefox,False,bad,3.0,True
65,John,34.0,Female,user64@mail.com,9000000064,Delhi,TN,India,2015-11-03,2022-12-12,12166.0,2289.0,53.0,Electronics,Card,Inactive,70.0,569.0,81564,Single,Engineer,Desktop,Firefox,True,bad,0.51,True
66,Sara,39.0,Female,user65@mail.com,9000000065,Mumbai,TN,India,2019-12-17,2024-02-17,24851.0,405.0,4.0,Clothing,Cash,Active,71.0,341.0,174233,Married,Engineer,Mobile,Chrome,True,bad,0.13,True
67,Fatima,21.0,Female,user66@mail.com,9000000066,Bangalore,DL,India,2021-11-21,2023-02-10,24244.0,1900.0,82.0,Electronics,Card,Inactive,4.0,468.0,86404,Single,Engineer,Mobile,Chrome,True,good,0.95,True
68,Priya,50.0,Female,user67@mail.com,9000000067,Delhi,KA,India,2022-04-30,2015-10-28,13795.0,4968.0,24.0,Electronics,UPI,Inactive,74.0,736.0,180868,Married,Doctor,Mobile,Firefox,True,good,0.66,False
69,Sara,22.0,Female,user68@mail.com,9000000068,Mumbai,KA,India,2024-06-10,2024-05-01,40842.0,4717.0,85.0,Clothing,UPI,Inactive,77.0,782.0,63352,Married,Doctor,Desktop,Firefox,False,average,0.01,True
70,Sara,32.0,Female,user69@mail.com,9000000069,Mumbai,KA,India,2018-10-06,2022-10-22,42014.0,1286.0,50.0,Clothing,Card,Active,45.0,308.0,87057,Single,Doctor,Desktop,Chrome,False,average,0.31,True
71,Amit,60.0,Male,user70@mail.com,9000000070,Mumbai,DL,India,2019-08-05,2021-10-24,23333.0,2005.0,4.0,Electronics,UPI,Inactive,38.0,600.0,119094,Married,Doctor,Mobile,Chrome,False,good,0.61,True
72,Priya,42.0,Male,user71@mail.com,9000000071,Mumbai,DL,India,2023-05-05,2023-01-23,24599.0,111.0,92.0,Clothing,Cash,Inactive,21.0,449.0,28175,Married,Doctor,Desktop,Firefox,False,bad,0.11,False
73,Priya,18.0,Female,user72@mail.com,9000000072,Chennai,KA,India,2016-04-15,2020-08-14,15455.0,2268.0,56.0,Clothing,Card,Active,13.0,827.0,154788,Single,Engineer,Desktop,Chrome,True,good,0.0,True
74,Amit,22.0,Male,user73@mail.com,9000000073,Chennai,TN,India,2021-01-12,2018-10-21,22804.0,253.0,79.0,Electronics,UPI,Active,60.0,504.0,89799,Married,Doctor,Mobile,Chrome,True,average,0.89,True
75,Amit,39.0,Female,user74@mail.com,9000000074,Bangalore,TN,India,2015-03-07,2021-04-23,13127.0,4241.0,82.0,Electronics,Card,Active,28.0,480.0,99740,Single,Engineer,Desktop,Chrome,True,average,0.15,True
76,Amit,55.0,Male,user75@mail.com,9000000075,Bangalore,MH,India,2023-11-25,2017-07-22,44566.0,1616.0,16.0,Electronics,Card,Active,95.0,418.0,42917,Single,Doctor,Desktop,Firefox,True,bad,0.03,False
77,Sara,47.0,Female,user76@mail.com,9000000076,Bangalore,TN,India,2019-10-12,2017-09-28,33069.0,2915.0,23.0,Electronics,Card,Active,98.0,747.0,92592,Married,Doctor,Desktop,Firefox,False,average,0.35,False
78,Sara,26.0,Female,user77@mail.com,9000000077,Mumbai,DL,India,2021-05-10,2016-06-03,36948.0,1324.0,22.0,Clothing,UPI,Active,17.0,464.0,40889,Married,Engineer,Desktop,Firefox,True,average,0.86,False
79,,120.0,M,invalid@,,,,India,not_a_date,,,,-3.0,electronics,,,150.0,,income,,,,,,,3.0,
80,Fatima,31.0,Male,user79@mail.com,9000000079,Mumbai,DL,India,2018-09-01,2021-04-26,27408.0,2101.0,47.0,Electronics,Card,Inactive,89.0,306.0,71205,Single,Engineer,Mobile,Firefox,False,good,0.16,True
81,Wei,56.0,Female,user80@mail.com,9000000080,Bangalore,KA,India,2017-01-19,2020-09-29,24306.0,1701.0,56.0,Electronics,Cash,Active,29.0,445.0,55018,Single,Engineer,Mobile,Firefox,False,good,0.05,False
82,  John ,,M,,abc123,,Tamil Nadu,India,not_a_date,32-13-2020,5000000.0,,,electronics,crypto,,150.0,,,,,,,,,3.0,
83,Priya,39.0,Female,user82@mail.com,9000000082,Chennai,DL,India,2015-09-15,2022-05-20,43323.0,2745.0,3.0,Electronics,Cash,Active,40.0,568.0,86165,Married,Doctor,Desktop,Chrome,False,good,0.63,True
84,Wei,,Female,,,Delhi,DL,India,not_a_date,,,,,Electronics,Cash,Inactive,,,income,Single,Doctor,Mobile,Chrome,True,good,,True
85,Priya,62.0,Female,user84@mail.com,9000000084,Mumbai,KA,India,2019-06-17,2015-02-24,26297.0,4627.0,93.0,Clothing,Card,Inactive,6.0,677.0,112512,Married,Engineer,Desktop,Chrome,False,average,0.2,True
86,Sara,54.0,Female,user85@mail.com,9000000085,Mumbai,KA,India,2020-05-13,2015-02-04,38745.0,2016.0,79.0,Electronics,Cash,Active,65.0,513.0,124941,Married,Engineer,Desktop,Firefox,True,good,0.33,True
87,Wei,37.0,Male,user86@mail.com,9000000086,Bangalore,KA,India,2020-02-19,2020-09-21,37184.0,2648.0,22.0,Clothing,UPI,Active,36.0,458.0,198840,Single,Doctor,Mobile,Firefox,False,bad,0.65,True
88,Fatima,52.0,Female,user87@mail.com,9000000087,Delhi,MH,India,2015-08-10,2015-12-15,48317.0,979.0,13.0,Clothing,Card,Inactive,50.0,486.0,144526,Married,Engineer,Mobile,Firefox,False,average,0.29,False
89,Wei,35.0,Male,user88@mail.com,9000000088,Chennai,TN,India,2023-12-16,2022-07-14,5255.0,4606.0,30.0,Clothing,Cash,Inactive,42.0,404.0,121797,Single,Doctor,Desktop,Firefox,False,average,0.51,True
90,Wei,65.0,Female,user89@mail.com,9000000089,Mumbai,DL,India,2016-08-20,2018-12-04,9992.0,1685.0,29.0,Electronics,Cash,Active,13.0,405.0,131464,Single,Doctor,Mobile,Firefox,False,average,0.4,False
91,Carlos,63.0,Female,user90@mail.com,9000000090,Bangalore,DL,India,2024-07-10,2023-06-12,19980.0,1526.0,13.0,Clothing,Card,Inactive,19.0,769.0,47651,Single,Doctor,Desktop,Firefox,False,bad,0.58,False
92,Fatima,52.0,Male,user91@mail.com,9000000091,Mumbai,MH,India,2021-01-06,2017-03-30,39960.0,2109.0,7.0,Clothing,UPI,Active,42.0,729.0,27788,Married,Doctor,Desktop,Firefox,True,average,0.91,False
93,Carlos,29.0,Male,user92@mail.com,9000000092,Bangalore,DL,India,2021-10-10,2023-10-15,41344.0,1920.0,30.0,Electronics,UPI,Inactive,49.0,508.0,96986,Single,Doctor,Mobile,Firefox,True,average,0.95,True
94,John,39.0,Male,user93@mail.com,9000000093,Bangalore,KA,India,2018-08-26,2021-01-29,42796.0,4383.0,36.0,Electronics,Card,Active,21.0,850.0,62079,Single,Engineer,Desktop,Chrome,False,good,0.85,False
95,Fatima,29.0,Male,user94@mail.com,9000000094,Mumbai,KA,India,2021-08-23,2020-06-24,3245.0,835.0,18.0,Clothing,UPI,Active,26.0,669.0,56141,Married,Doctor,Mobile,Firefox,False,good,0.53,True
96,Fatima,18.0,Female,user95@mail.com,9000000095,Chennai,DL,India,2024-03-11,2020-10-26,13412.0,688.0,14.0,Electronics,Cash,Inactive,13.0,756.0,171185,Married,Doctor,Mobile,Firefox,False,bad,0.35,False
97,Wei,31.0,Male,user96@mail.com,9000000096,Chennai,MH,India,2017-09-01,2017-09-09,2366.0,2074.0,86.0,Clothing,Cash,Inactive,72.0,397.0,34205,Single,Engineer,Mobile,Firefox,False,average,0.13,True
98,Priya,39.0,Male,user97@mail.com,9000000097,Bangalore,MH,India,2022-09-22,2020-11-12,24858.0,4890.0,8.0,Clothing,Card,Active,81.0,427.0,134492,Single,Engineer,Desktop,Chrome,True,average,0.02,True
99,Wei,45.0,Male,user98@mail.com,9000000098,Bangalore,TN,India,2016-06-11,2021-01-15,45172.0,3324.0,83.0,Clothing,Card,Inactive,61.0,624.0,134783,Single,Engineer,Mobile,Firefox,True,good,0.35,True
100,Amit,,Female,invalid@,abc123,Delhi,KA,India,not_a_date,,5000000.0,,,Electronics,UPI,Active,150.0,,income,Single,Doctor,Desktop,Firefox,False,bad,,False
101,Priya,47.0,Female,user100@mail.com,9000000100,Mumbai,DL,India,2020-09-19,2022-05-21,27070.0,3489.0,88.0,Clothing,Cash,Active,39.0,317.0,36558,Single,Doctor,Mobile,Firefox,False,average,0.79,False
102,John,120.0,Male,,,Delhi,DL,India,not_a_date,32-13-2020,,,,Electronics,Cash,Inactive,,,,Married,Engineer,Mobile,Firefox,False,good,3.0,False
103,John,28.0,Male,user102@mail.com,9000000102,Chennai,TN,India,2016-04-25,2021-03-23,35719.0,2599.0,97.0,Electronics,Card,Active,29.0,522.0,43506,Married,Doctor,Desktop,Chrome,False,bad,0.81,True
104,Amit,45.0,Female,user103@mail.com,9000000103,Bangalore,KA,India,2019-11-23,2024-06-04,5449.0,1617.0,28.0,Electronics,UPI,Inactive,53.0,663.0,113054,Single,Engineer,Mobile,Chrome,True,average,0.07,False
105,Sara,27.0,Female,user104@mail.com,9000000104,Chennai,KA,India,2022-09-05,2023-03-19,41103.0,115.0,61.0,Clothing,Cash,Inactive,26.0,435.0,186885,Married,Engineer,Desktop,Firefox,True,good,0.23,False
106,Carlos,57.0,Female,user105@mail.com,9000000105,Mumbai,DL,India,2016-02-07,2017-10-16,16891.0,4127.0,74.0,Electronics,Card,Inactive,45.0,743.0,124943,Married,Engineer,Desktop,Chrome,False,good,0.06,False
107,John,56.0,Female,user106@mail.com,9000000106,Bangalore,KA,India,2017-12-18,2020-09-14,7985.0,2769.0,20.0,Clothing,UPI,Active,71.0,399.0,117190,Married,Doctor,Mobile,Firefox,True,good,0.41,False
108,,120.0,,invalid@,abc123,,Tamil Nadu,India,,32-13-2020,,,-3.0,,crypto,,,,,,,,,yes,,3.0,
109,Wei,40.0,Female,user108@mail.com,9000000108,Mumbai,DL,India,2024-10-30,2020-11-25,17378.0,2781.0,78.0,Electronics,Card,Active,39.0,613.0,160589,Married,Doctor,Mobile,Firefox,False,bad,0.78,True
110,Amit,34.0,Female,user109@mail.com,9000000109,Mumbai,MH,India,2016-11-06,2024-02-19,37253.0,706.0,41.0,Clothing,UPI,Active,20.0,339.0,136843,Single,Doctor,Mobile,Firefox,True,bad,0.64,False
111,Fatima,32.0,Male,user110@mail.com,9000000110,Bangalore,KA,India,2015-02-10,2021-09-27,11984.0,3853.0,56.0,Electronics,Card,Active,31.0,615.0,76145,Married,Doctor,Desktop,Firefox,False,average,0.05,True
112,Priya,20.0,Male,user111@mail.com,9000000111,Chennai,DL,India,2020-01-27,2022-06-03,20937.0,1036.0,32.0,Electronics,Card,Active,24.0,438.0,183363,Single,Doctor,Mobile,Chrome,False,good,0.84,True
113,Fatima,26.0,Female,user112@mail.com,9000000112,Chennai,DL,India,2017-03-09,2019-06-20,1518.0,4554.0,36.0,Clothing,Cash,Inactive,51.0,842.0,158567,Married,Doctor,Mobile,Chrome,False,bad,0.39,True
114,Fatima,38.0,Male,user113@mail.com,9000000113,Mumbai,DL,India,2019-06-14,2015-06-17,27766.0,4961.0,61.0,Electronics,UPI,Active,16.0,720.0,163110,Married,Doctor,Mobile,Chrome,True,average,0.71,False
115,Wei,35.0,Male,user114@mail.com,9000000114,Mumbai,MH,India,2015-12-27,2017-05-13,32484.0,1449.0,7.0,Clothing,Cash,Active,19.0,401.0,30418,Married,Doctor,Mobile,Chrome,False,bad,0.94,False
116,Sara,50.0,Female,user115@mail.com,9000000115,Bangalore,DL,India,2019-11-08,2024-02-29,39163.0,2132.0,57.0,Clothing,Cash,Inactive,49.0,534.0,118887,Single,Engineer,Desktop,Chrome,True,average,0.88,False
117,,,,,abc123,,,India,not_a_date,,5000000.0,,-3.0,electronics,,,150.0,100.0,income,,,,,,,3.0,
118,Sara,58.0,Male,user117@mail.com,9000000117,Mumbai,DL,India,2023-04-20,2015-11-28,12169.0,3831.0,48.0,Clothing,UPI,Inactive,86.0,783.0,194218,Single,Doctor,Mobile,Chrome,True,good,0.28,False
119,Wei,63.0,Female,user118@mail.com,9000000118,Chennai,KA,India,2024-10-19,2018-11-01,16566.0,1954.0,45.0,Electronics,Card,Inactive,65.0,502.0,123207,Single,Engineer,Mobile,Chrome,False,good,0.17,True
120,Wei,28.0,Male,user119@mail.com,9000000119,Bangalore,MH,India,2024-02-21,2017-11-19,45132.0,4352.0,57.0,Electronics,Card,Inactive,52.0,708.0,154055,Married,Doctor,Desktop,Firefox,True,good,0.47,False
121,Fatima,52.0,Male,user120@mail.com,9000000120,Delhi,KA,India,2023-05-24,2020-05-25,5000000.0,,,Clothing,Cash,Inactive,150.0,100.0,income,Single,Doctor,Mobile,Chrome,False,bad,3.0,True
122,Wei,34.0,Female,user121@mail.com,9000000121,Chennai,MH,India,2024-03-15,2020-06-03,8242.0,1899.0,20.0,Electronics,Cash,Active,22.0,369.0,44854,Married,Doctor,Mobile,Chrome,False,good,0.53,True
123,Sara,38.0,Female,user122@mail.com,9000000122,Bangalore,DL,India,2015-12-05,2017-07-27,48558.0,3715.0,72.0,Clothing,Cash,Inactive,90.0,746.0,173903,Married,Engineer,Mobile,Chrome,False,average,0.97,True
124,Sara,54.0,Male,user123@mail.com,9000000123,Mumbai,TN,India,2020-12-16,2017-04-16,32277.0,2009.0,46.0,Electronics,Card,Inactive,21.0,441.0,189539,Married,Doctor,Desktop,Firefox,True,bad,0.08,False
125,Priya,46.0,Female,user124@mail.com,9000000124,Bangalore,DL,India,2020-05-28,2018-10-27,6316.0,4951.0,79.0,Electronics,Card,Inactive,22.0,393.0,22139,Single,Engineer,Mobile,Firefox,True,bad,0.46,False
126,Carlos,34.0,Female,user125@mail.com,9000000125,Chennai,KA,India,2020-03-12,2017-09-15,5664.0,2661.0,18.0,Electronics,UPI,Inactive,81.0,357.0,96129,Married,Engineer,Desktop,Firefox,True,bad,0.32,False
